Name,Power,Description,Insight Book Link,Special
Laish,3,"""They were quiet and unsuspecting""",https://wol.jw.org/en/wol/d/r1/lp-e/1200002667,
Aphek,6,"""Its king was among those slain by Joshua."" ",https://wol.jw.org/en/wol/d/r1/lp-e/1200000300,
Ashtaroth,6,,https://wol.jw.org/en/wol/d/r1/lp-e/1200000426,Levite
Baal-Gad,6,The N-most point of Joshua's conquest of the land of Canaan ,https://wol.jw.org/en/wol/d/r1/lp-e/1200000511,
Beer-sheba,6,"Means ""Well of the Oath"" (Or, Well of Seven) ",https://wol.jw.org/en/wol/d/r1/lp-e/1200000615,
Dor,7,"""Manasseh… proved unable to dispossess the inhabitants... there."" ",https://wol.jw.org/en/wol/d/r1/lp-e/1200001213,
Goshen,6,,https://wol.jw.org/en/wol/d/r1/lp-e/1200001745,
Hepher,6,"""The king… was among those defeated by Joshua"" ",https://wol.jw.org/en/wol/d/r1/lp-e/1200001989,
Jarmuth,6,,https://wol.jw.org/en/wol/d/r1/lp-e/1200002332,
Jericho,6,,https://wol.jw.org/en/wol/d/r1/lp-e/1200002426,
Jokneam,6,"""A city in Carmel conquered by Joshua."" ",https://wol.jw.org/en/wol/d/r1/lp-e/1200002498,
Kedesh,6,Assigned to the Gershonites ,https://wol.jw.org/en/wol/d/r1/lp-e/1200002582,Levite
Shechem,6,,https://wol.jw.org/en/wol/d/r1/lp-e/1200003978,Levite
Shimron,6,,https://wol.jw.org/en/wol/d/r1/lp-e/1200004054,
Taanach,6,Assigned to the Kohathites. It occupied an important position on at least two trade routes.,https://wol.jw.org/en/wol/d/r1/lp-e/1200004289,Levite
Tappuah,6,"""On the boundary between Ephraim and Manasseh."" ",https://wol.jw.org/en/wol/d/r1/lp-e/1200004321,
Ai,8,,https://wol.jw.org/en/wol/d/r1/lp-e/1200000178,
Arad,8,One of the most imposing mounds in the region.,https://wol.jw.org/en/wol/d/r1/lp-e/1200000329,
Aroer,8,Situated on the edge of an impressive gorge,https://wol.jw.org/en/wol/d/r1/lp-e/1200000382,
Azekah,8,,https://wol.jw.org/en/wol/d/r1/lp-e/120000049,
Chephirah,8,,https://wol.jw.org/en/wol/d/r1/lp-e/1200000941,Gibeonite
Gibeon,10,,https://wol.jw.org/en/wol/d/r1/lp-e/1200001682,"Priest, Gibeonite"
Jerusalem,8,,https://wol.jw.org/en/wol/d/r1/lp-e/1200002436,
Libnah,8,,https://wol.jw.org/en/wol/d/r1/lp-e/1200002734,Levite
Sidon,8,"""and pursued them as far as Great Sidon""",https://wol.jw.org/en/wol/d/r1/lp-e/1200004113,
Tirzah,8,Capital of northern kingdom from reigns of Nabad to Zimri. ,https://wol.jw.org/en/wol/d/r1/lp-e/1200004426,
Anab,9,,https://wol.jw.org/en/wol/d/r1/lp-e/1200000256?q=anab&p=par,Anakim
Eglon,9,,https://wol.jw.org/en/wol/d/r1/lp-e/1200001264,
Gezer,9,"""its king… tried to save Lachish form the Israelite army"" ",,Levite
Lassharon,9,"""A royal Canaanite city"" ",,
Madon,9,"""A royal Canaanite city"" ",https://wol.jw.org/en/wol/d/r1/lp-e/1200002828?q=madon&p=par,
Beth-horon,11,"""Strategically situated"" Double City ",https://wol.jw.org/en/wol/d/r1/lp-e/1200000691,
Beth-shemesh,11,Strategically located. Many wine and olive presses. ,https://wol.jw.org/en/wol/d/r1/lp-e/1200000710,"Levite, Priest"
Edrei,11,"""A royal city of Og"" ",https://wol.jw.org/en/wol/d/r1/lp-e/1200001259,
Hazor,11,"""had formerly been head of all these kingdoms""",https://wol.jw.org/en/wol/d/r1/lp-e/1200001937,
Heshbon,11,,https://wol.jw.org/en/wol/d/r1/lp-e/1200002006,Levite
Lachish,11,,https://wol.jw.org/en/wol/d/r1/lp-e/1200002659,
Debir,12,,https://wol.jw.org/en/wol/d/r1/lp-e/1200001137,"Levite, Anakin"
Adullam,14,The Kingdom of Adullam was one of the 31 kingdoms that were defeated by Joshua.,https://wol.jw.org/en/wol/d/r1/lp-e/1200000122,
Bethel,14,Strategically located and prominent. ,https://wol.jw.org/en/wol/d/r1/lp-e/1200000682,
Hebron,14,,https://wol.jw.org/en/wol/d/r1/lp-e/1200001956,"Priest, Anakim"
Megiddo,14,"""STRATEGICALLY located"" ""was heavily fortified."" ",https://wol.jw.org/en/wol/d/r1/lp-e/1200001700,
